,train_rmse,train_r2,val_rmse,val_r2,feats,patience,num_layers,shape,activ_func,dropout_rate,batch_size,lr
39,22.388813919994845,-1.2732906151102408,16.8706928482127,-0.2938366078008685,grades_only,50,3,"[128, 32, 8]",relu,0.5,2,0.001
40,12.144841579994727,0.3389388900725648,12.815980596894075,0.2584332769492707,grades_only,50,3,"[128, 32, 8]",relu,0.0,8,0.001
41,17.66525658383355,-0.4006434474812977,13.150221758814194,0.2185505421737708,grades_only,50,3,"[128, 32, 8]",relu,0.25,8,0.001
42,20.82391704881616,-0.9449083634287913,14.105960644857134,0.1008978917519583,grades_only,50,3,"[128, 32, 8]",relu,0.5,8,0.001
43,10.04771247272674,0.5473554282474156,13.412901395569303,0.1877896159007254,grades_only,50,3,"[128, 32, 8]",relu,0.0,32,0.001
44,18.287301069932838,-0.50088419049399,13.542139894351235,0.1722209238223675,grades_only,50,3,"[128, 32, 8]",relu,0.25,32,0.001
45,24.34651673798059,-1.6627460500308675,15.899776728982236,-0.1551512084268853,grades_only,50,3,"[128, 32, 8]",relu,0.5,32,0.001
46,9.064939844563805,0.6311959000876687,13.945188175163056,0.1211663078202018,grades_only,50,3,"[128, 32, 8]",relu,0.0,128,0.001
47,18.75753728406088,-0.5780134179129611,13.665968319216494,0.1570363845684296,grades_only,50,3,"[128, 32, 8]",relu,0.25,128,0.001
48,26.09208888439584,-2.051157654351674,17.359120698825432,-0.3684944123935648,grades_only,50,3,"[128, 32, 8]",relu,0.5,128,0.001
49,14.494316731066792,0.0586100852341152,15.13787223916032,-0.0376784847189241,grades_offense,50,3,"[128, 32, 8]",relu,0.0,2,0.001
50,20.54692604237969,-0.8962021595690903,16.173668239827347,-0.1981350222041915,grades_offense,50,3,"[128, 32, 8]",relu,0.25,2,0.001
51,20.73062308026619,-0.9376200855777412,16.278558270271493,-0.2015534134215538,grades_offense,50,3,"[128, 32, 8]",relu,0.5,2,0.001
52,12.507484297417935,0.2992121308431054,12.980773910260137,0.2386299783909904,grades_offense,50,3,"[128, 32, 8]",relu,0.0,8,0.001
53,17.929690269244084,-0.44706928531681,13.053509146567304,0.232123649907336,grades_offense,50,3,"[128, 32, 8]",relu,0.25,8,0.001
54,20.887882153112603,-0.959364642748563,13.71539515897002,0.1507393235286077,grades_offense,50,3,"[128, 32, 8]",relu,0.5,8,0.001
55,10.908028083667572,0.4667368475311806,13.350993951879412,0.1943091639378603,grades_offense,50,3,"[128, 32, 8]",relu,0.0,32,0.001
56,18.802155234271897,-0.5852669125080421,13.365047517862,0.1930663875073311,grades_offense,50,3,"[128, 32, 8]",relu,0.25,32,0.001
57,23.43397795421097,-1.467168815224636,15.512172867027422,-0.0970201084780468,grades_offense,50,3,"[128, 32, 8]",relu,0.5,32,0.001
58,10.068453233731026,0.5458070196004836,13.686630536196764,0.1525277878528997,grades_offense,50,3,"[128, 32, 8]",relu,0.0,128,0.001
59,18.87334146691734,-0.5965779533484238,13.82784087576979,0.1365550867287485,grades_offense,50,3,"[128, 32, 8]",relu,0.25,128,0.001
60,25.826643744122443,-1.993193502192964,17.38247172020059,-0.3667168243092013,grades_offense,50,3,"[128, 32, 8]",relu,0.5,128,0.001
61,14.85140671854626,0.0115340327182269,14.824177418266478,0.0078479133948942,tds,50,3,"[128, 32, 8]",relu,0.0,2,0.001
62,19.80647198048149,-0.7745584786140245,15.164602461239898,-0.0386689796054773,tds,50,3,"[128, 32, 8]",relu,0.25,2,0.001
63,22.85252299838015,-1.363024413443854,18.23535428210141,-0.5022950878421788,tds,50,3,"[128, 32, 8]",relu,0.5,2,0.001
64,12.286852627270108,0.3236404419328629,12.776941827096092,0.2639372093995656,tds,50,3,"[128, 32, 8]",relu,0.0,8,0.001
65,18.107256514353622,-0.4720293275725303,13.546002871541862,0.1698167930242275,tds,50,3,"[128, 32, 8]",relu,0.25,8,0.001
66,21.502792635266974,-1.0713805667481346,14.033384293805112,0.1102063253631899,tds,50,3,"[128, 32, 8]",relu,0.5,8,0.001
67,10.120548228770156,0.5407925146391445,13.547672266484938,0.1671884105942164,tds,50,3,"[128, 32, 8]",relu,0.0,32,0.001
68,18.156910803380224,-0.4784818346326522,13.412619606877584,0.1871117455752959,tds,50,3,"[128, 32, 8]",relu,0.25,32,0.001
69,23.95272218928548,-1.5787618392167235,15.684572678849182,-0.1239819145671288,tds,50,3,"[128, 32, 8]",relu,0.5,32,0.001
70,9.377258690583506,0.605980494555082,13.917538194835569,0.1255096413129367,tds,50,3,"[128, 32, 8]",relu,0.0,128,0.001
71,19.089119725289333,-0.6333052324940933,13.730850101939648,0.148709898441725,tds,50,3,"[128, 32, 8]",relu,0.25,128,0.001
72,25.95067013948618,-2.021020012999766,17.57335755656269,-0.3959186288583214,tds,50,3,"[128, 32, 8]",relu,0.5,128,0.001
73,14.99897504957525,-0.0084239315997115,15.76355184989878,-0.1205063098065643,intuition,50,3,"[128, 32, 8]",relu,0.0,2,0.001
74,20.67562937024731,-0.9242368343843882,16.238374797035995,-0.1906546374664715,intuition,50,3,"[128, 32, 8]",relu,0.25,2,0.001
75,18.592056775729294,-0.5508606029116845,14.823792285406356,0.0084323182883225,intuition,50,3,"[128, 32, 8]",relu,0.5,2,0.001
76,11.726254409127316,0.3838304465768229,13.279973922423636,0.2046089062125607,intuition,50,3,"[128, 32, 8]",relu,0.0,8,0.001
77,17.283911839312818,-0.3414812123724948,12.894893043666006,0.2502970490011805,intuition,50,3,"[128, 32, 8]",relu,0.25,8,0.001
78,21.76166564566384,-1.1239906824578196,13.726288459839996,0.150504924084137,intuition,50,3,"[128, 32, 8]",relu,0.5,8,0.001
79,9.101202801829029,0.6287385572865647,13.718423354767586,0.1493382111876268,intuition,50,3,"[128, 32, 8]",relu,0.0,32,0.001
80,18.12660422376594,-0.4721304668469363,13.148269142196682,0.2198046416081762,intuition,50,3,"[128, 32, 8]",relu,0.25,32,0.001
